keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""Angiographic Contrast Injector (血管造影剂注射器(商品名：Imaxeon)"",""Orthopilot Navigation System (导航定位系统"",""NoCoding 1 Blood Glucose Test Strip (血糖检测试条(电化学法)(商品名：爱先思免条码)"",""ViewPointTM CK System (传导性角膜成形治疗系统"",""Easiflex Ostomy Care Products (造口护理用品(商品名：艺舒)"",""Cannulated Screws (空心螺钉"",""见附页 (一次性使用无菌脑积水分流器及其组件系统(商品名：GAV(r))"",""VITROS Immunodiagnostic Products Anti-HAV Total (甲型肝炎病毒总抗体诊断试剂盒(化学发光法)"",""Anti-EBV-EA-D ELISA (IgA) (抗EB病毒早期抗原IgA抗体检测试剂盒(酶联免疫吸附法)"",""FUJI DRI-CHEM SLIDE NH3-PII (血氨测定试剂盒(终点法)"",""Clinical Specular Microscope (医用眼科诊断显微镜"",""Immulite 2000 Multi-Diluent 2 (多项稀释液"",""Buffer 2A (洗脱液"",""Reflotron CK (肌酸激酶检测试纸(干化学法)"",""FUJI DRI-CHEM SLIDE CKMB-P (肌酸激酶MB型同工酶测定试剂盒(速率法)""]"
"[""Insulin Pump (胰岛素泵"",""Macropore Instrument (颅骨修补固定系统手术工具(商品名：Macropore)"",""Soft Contact Lens (软性亲水接触镜(商品名：视康水润舒视氧(Air Optix Aqua))"",""Cardiac C-Reactive Protein (Latex) High Sensitive (CRPHS) (高敏C反应蛋白检测试剂盒(胶乳法)"",""Deguvest SR dental phosphate-bonded casting investments (牙科磷酸盐铸造包埋材"",""Mobile C-Arm X-ray equipment (移动式C型臂X射线机"",""ABX Difftrol (血液分析仪用质控品(商品名：血液分析仪用质控品低值)"",""ENDO CLIP Ⅲ 5mm Single Use Clip Applier (一次性使用施夹钳(商品名：ENDO CLIP Ⅲ 5mm)"",""Reusable Injector (人工晶体推注器"",""VITROS Chemistry Products CRBM Slides (卡马西平测定干片(免疫速率法)"",""Xact Carotid Stent System (颈动脉支架系统(商品名：Xact)"",""Syringe Infusion Pump (注射泵(商品名：艾克孚)"",""CRP FS (C-反应蛋白测定试剂盒(免疫透射比浊方法)"",""MultiLoc Proximal Humeral Nail (多维锁定肱骨近端髓内钉系统"",""i-STAT Celite ACT Cartridge (激活凝血时间测试卡片(干式电化学法)""]"
"[""Bone cement (骨水泥(商品名：CEMEX)"",""LIAISON AFP (甲胎蛋白定量测定试剂盒(化学发光法)"",""Anti-CMV ELISA (IgG) (抗巨细胞病毒抗体IgG检测试剂盒 (酶联免疫吸附法)"",""N AS IgG1 (免疫球蛋白G1测定试剂盒(散射比浊法)"",""IMMULITE PAP Control Module (前列腺酸性磷酸酶质控品"",""Hypertonic Sea Water Nasal Spray (高渗海水鼻腔喷雾器(商品名：SINOMARIN MINI 30mlspray)"",""Centrifuge (离心机(商品名：Avanti(r)J系列)"",""Spineplex Radiopaque Bone Cement (不透射线骨水泥(商品名：Spineplex)"",""VITROS Immunodiagnostic Products Totalβ-hCG II Calibrators (总人绒毛膜促性腺激素β亚单位II校准品(化学发光法)"",""Mosaic Pancreas (Monkey) / Cerebellum (Monkey) (抗胰岛细胞/抗谷氨酸脱羧酶抗体检测试剂盒(间接免疫荧光法)"",""Soft Hydrophilic Contact Lenses (软性亲水接触镜"",""CerTest H.pylori Blister Test (幽门螺旋杆菌抗原检测条(免疫层析法)"",""Hip Joint Prostheses Manual Instruments (髋关节假体手动工具(商品名：Trabecular Metal)"",""Guide Wire (导引导丝(商品名：HI-TORQUE FLOPPY Ⅱ)"",""DISPOSABLE ELECTRODE (一次性电极(商品名：Vitrode L)""]"
"[""Prolactin ⅡCalSet (催乳素定标液"",""Activated Partial Thromboplastin Time(APTT) Kit (clotting method) (活化部分凝血活酶时间(APTT)测定试剂盒(凝固法)(商品名：TriniCLOT aPTT HS)"",""Palindrome HSI Chronic Catheter Kit (一次性血液透析管套装(商品名：Palindrome Sapphire)"",""Urine analyzer (尿液分析仪"",""Nasal Pancreatic Drainage Set (鼻胰引流管"",""DML 3000 Microplate Luminometer (基因杂交信号扩大仪"",""CODMAN General Surgical Instruments-I (通用外科工具-I(商品名：Codman)"",""PHS (类风湿因子测定试剂盒(免疫透射比浊速率法)"",""COBAS AmpliPrep (全自动核酸分离纯化仪"",""6.838 Buffer (缓冲液"",""Ultrasound Probes (经直肠电子凸阵探头"",""Total Bilirubin Special (BIL-TS) (总胆红素检测试剂盒(比色法)"",""Guide Wire with Hydrocoat Hydrophilic Coating (导引导丝(商品名：HI-TORQUE INTERMEDIATE)"",""RESTORATIVE COMPOSITE (复合修复树脂"",""AtriCure Bipolar System - Isolators and Glidepath Tape (双极射频消融隔离钳及连接带(商品名：AtriCure)""]"
"[""CRP Standard (C反应蛋白校准品"",""FT3 CalSet (游离三碘甲状腺原氨酸定标液"",""Dental X-ray system (牙科X射线机"",""Magnesium (MG) (镁检测试剂盒(比色法)"",""UREAL(UREA/BUN) (尿素/尿素氮检测试剂盒(比色法)"",""DiVAS Video Archiving and Voice Analysis Software (图像编辑和嗓音分析软件"",""Acetaminophen Flex? Reagent Cartridge (ACTM) (对乙酰氨基酚测定试剂盒(比色法)"",""LIAISON?β2-Microglobulin (β2-微球蛋白定量测定试剂盒(化学发光法)"",""AxSYM CEA Reagent Pack (癌胚抗原测定试剂盒(微粒子酶联免疫检测法)"",""VITROS Chemistry Products TRFRN Reagent (转铁蛋白测定试剂盒(免疫比浊法)"",""VITROS Chemistry Products hsCRP Reagent (超敏C反应蛋白测定试剂盒(乳胶增强免疫比浊法)"",""Multi Calibrator (多项复合校准品"",""VITROS Chemistry Products Citric Acid Solution (柠檬酸溶液"",""Dental Implant Instruments and Accessories (牙科种植体用器械和配件(商品名：Astra Tech Dental)"",""IMMULITE(r) 2000 PAPP-A (妊娠相关血浆蛋白A测定试剂盒(化学发光法)""]"
"[""Radio Frequency Pain Management System (射频疼痛治疗系统"",""IMMUNOPREP Reagent System (溶血剂"",""Syringe Pump (注射泵"",""Posterior Cage (后路腰椎椎间融合器(商品名：ROI)"",""Shock Wave Therapy (冲击振动治疗仪"",""Tina-quant Hemoglobin A1c III(HBA1C III) (糖化血红蛋白检测试剂盒(免疫比浊法)"",""Progesterone II CalSet (孕酮定标液"",""GLUCOSE (GLUC-PAP) (葡萄糖检测试剂盒(GOD/PAP法)"",""Endoluminal Advancement Systems (消化道镜螺旋外管(商品名：Endo-Ease Discovery SB)"",""AQT90 FLEX NT-proBNP Cal Cartridge (氨基末端B型脑钠肽前体定标卡(时间分辨免疫荧光法)"",""ABX Minotrol 16 (血液分析仪用质控品(商品名：血液分析仪用质控品中值)"",""Micrus Microcoil System (弹簧圈(商品名：Micrus)"",""Ultrasound Probes (术中电子相控阵探头"",""Mammographic X-ray Equipment (乳腺X射线机"",""AxSYM 3rd Generation TSH Reagent Pack (促甲状腺激素第三代测定试剂盒(微粒子酶联免疫检测法)""]"
"[""ABX Minotrol 16 (血液分析仪用质控品(商品名：血液分析仪用质控品低值)"",""ARCHITECT HE4 Reagent Kit (人附睾蛋白4测定试剂盒(化学发光微粒子免疫检测法)"",""Rehabilitation device (康复训练器"",""CO2 INSUFFLATOR (CO2气腹机"",""Access Total T4 Calibrators (总甲状腺素校准品"",""Knee Orthosis (膝关节矫形器"",""Thyroxine Calibrator (T4-C) (甲状腺素定标液"",""Alanine Aminotransferase (ALT) (谷丙转氨酶检测试剂盒(紫外法)"",""Testzym S ATⅢ (抗凝血酶Ⅲ检测试剂盒(显色性合成底物法)"",""Abutment (基台"",""Tacker 5mm Mesh Fixation Device (疝修补器(商品名：Tacker)"",""TEMPORARY PACING ELECTRODE CATHETER (临时起搏电极导管(商品名：巴德)"",""Dental Unit (牙科综合治疗台"",""N Antiserum to Human 1-acid Glycoprotein (α1-酸性糖蛋白测定试剂盒(散射比浊法)"",""Vent Catheters (引流管""]"
"[""Extracorporeal  Blood Pumping Console (离心泵血液灌注系统(商品名：Bio-Console)"",""MEDFLATOR Ⅱ Inflation Device with Accessories (压力泵及其附件(商品名：MEDFLATOR Ⅱ)"",""SynchroMed II Programmable Drug Infusion System (药物灌注系统"",""Patient Lifter (患者移位机"",""PreciControl HSV (单纯疱疹病毒(1+2型)IgG质控品"",""VICRYL Polyglactin 910 Braided Synthetic Absorbable Suture (合成可吸收性外科缝线(商品名：VICRYL)"",""VITROS Chemistry Products Calibrator Kit 11 (万古霉素校准品"",""Synthetic Resorable Bone Graft (可吸收人工骨粉"",""Digital Dental Radiography System (数字牙科摄影系统"",""Retic PAK (网织红细胞试剂包"",""LIAISON CA 15-3 (糖类抗原15-3定量测定试剂盒(化学发光法)"",""ultrasonic colonovideoscope (超声电子结肠镜"",""Prismaflex HF1000 Set/Prismaflex HF1400 Set (滤器及管路配套"",""Surgical Lighting System (手术灯"",""Triage D-Dimer Test (D-二聚体检测试剂盒(荧光免疫法)""]"
"[""Precision Injection (球囊扩张用注射器(商品名：Cadence)"",""VITROS Immunodiagnostic Products Cortisol Calibrators (皮质醇校准品"",""Latron Primer (灌注液"",""Single Photon Emission Computed Tomography System (单光子发射计算机断层扫描系统"",""ABX Minotrol CRP (血液分析仪用质控品(商品名：全血质控品中值)"",""VITROS Immunodiagnostic Products Troponin I ES Reagent Pack (肌钙蛋白 I 测定试剂包(化学发光法)"",""Vigil Serology Control (血清学质控品"",""AIA-PACK TSH 3rd-Gen CALIBRATOR SET (甲状腺刺激激素校准品"",""ChemFil Superior-Fast Setting Glass-Ionomer Restorative Material (玻璃离子修复材料"",""CA 72-4 CalSet (糖类抗原72-4定标液"",""IOTest CD3-PC5 (白细胞分化抗原CD3检测试剂盒(流式细胞仪法)(商品名：IOTest(R))"",""Hip Joint Prostheses-Mudular Acetabular System (髋关节假体-骨金属组合髋臼(商品名：Trabecular Metal)"",""AUTOMATED BLOOD COAGULATION ANALYZER (全自动凝血分析仪"",""Digital X-ray imaging system (数字化X射线摄影系统"",""Alanine aminotransferase acc. to IFCC (ALTL) (谷丙转氨酶检测试剂盒(IFCC法)""]"
"[""Minimal Invasive Surgery Spine System (脊柱微创系统(商品名：Viper)"",""Immunoglobulin A FS (免疫球蛋白A测定试剂盒(免疫透射比浊方法)"",""BLOOD TUBING SET (置换液管"",""Hip Stem (股骨部件(商品名：Accolade HFx)"",""ArthroCare System 12000 (等离子体手术系统(商品名：Quantum)"",""Microprotein(M-TP) Reagent (微量总蛋白测定试剂盒(比色法)"",""Infusion Pump (输液泵(商品名：Infusomat)"",""Locking Plates (锁定接骨板"",""ArteColl (整形用胶原和PMMA皮下植入物系统(商品名：英文：Artecoll中文：爱贝芙)"",""CRP FS (C-反应蛋白测定试剂盒(免疫透射比浊方法)"",""Tazuna PTCA Dilation Catheter (球囊扩张导管(商品名：Tazuna)"",""Instruments for Traumatic Surgery (创伤外科用工具(商品名：SYNTHES)"",""External Monitoring Systems for Brady IPGs/ICDs((Home Monitoring System for active implantable medical devices) (病人终端(商品名：CardioMessenger)"",""Heater Cooler Unit (人工心肺机-热交换水箱"",""G8 β-Thalassemia Diluting Solution(S) (稀释液(地贫模式)""]"
"[""Immunology Control 1 (免疫质控品"",""Guide Wire (导引导丝(商品名：HI-TORQUE FLOPPY Ⅱ EXTRA SUPPORT)"",""Lysing Reagent (血细胞分析仪用溶血剂"",""Intra-Abdominal Pressure Monitoring Kit (膀胱内静压监测包"",""Reso-Pac (牙周辅料(商品名：牙周辅料)"",""Intraocular Lens (人工晶体"",""AbViser Intra-Abdominal Pressure Monitoring Kit (膀胱内静压监测包"",""SpheRx Spinal System Instruments (脊柱外科手术工具(商品名：SpheRx)"",""Ultrasound System (超声诊断仪"",""Bicarbonate Liquid (CO2-L) (重碳酸盐检测试剂盒(比色法)"",""Intra-Aortic Balloon pump (主动脉内球囊反搏泵(商品名：AutoCAT 2、AutoCAT 2 WAVE)"",""Stethoscopes (听诊器"",""Hysteroscope and Accessories (宫腔镜及附件"",""AQUA CAL1，AQUA CAL 2，AQUA CAL 3 (多项生化校准品"",""Complement C3c FS (补体C3c测定试剂盒(免疫透射比浊法)""]"
"[""Bilirubin Direct Gen.2(BILD2) (直接胆红素检测试剂盒(重氮法)"",""RF (类风湿因子测定试剂盒(免疫透射比浊速率法)"",""MicroPlex Coil System (弹簧圈系统(商品名：MicroPlex)"",""Access Prolactin Calibrators (泌乳素校准品(化学发光法)(商品名：Access泌乳素校准品)"",""Intra-Aortic Balloon with Peel-Away Hemostsis Device (主动脉内球囊反搏导管及附件"",""Discover Artificial Cervical Disc (人工颈椎椎间盘系统(商品名：Discover)"",""ThinPrep 2000 System (全自动细胞检测制备仪"",""S-Cal Calibrator (血液分析仪用校准品"",""C-Reactive Protein Extended Range Flex reagent cartridge(RCRP) (C反应蛋白测定试剂盒(免疫比浊法)"",""AIA-PACK PROG CALIBRATOR SET (黄体酮校准品"",""Tina-quant Cystatin C (半胱氨酸蛋白酶抑制剂C检测试剂盒(免疫比浊法)(商品名：胱抑素C)"",""FUJI DRI-CHEM SLIDE AMYL-PIII (淀粉酶测定试剂盒(速率法)"",""Anti-D Blood Grouping Reagent (Monoclonal Human IgM/IgG Blend) (抗D(IgM+IgG)血型定型试剂(单克隆抗体)"",""OC-STANDARD (便潜血校准品"",""Testzym S PC (蛋白C检测试剂盒(显色性合成底物法)""]"
"[""Coulter LH SlideStainer (染片仪"",""Expedium Fenestrated Screw (有孔螺钉(商品名：Expedium)"",""IL-6 (白介素6检测试剂盒(电化学发光法)"",""Pall Ultipor Blood Transfusion Filter (一次性使用血液过滤器"",""IMMULITE/IMMULITE1000  Folic Acid (叶酸测定试剂盒(化学发光法)"",""3MTM Synthetic Cast Padding (聚酯衬垫(商品名：3MTM聚酯衬垫)"",""Endocavity Needle Guidance Systems (针导引器及附件"",""Chemistry analyser AU5400 (全自动生化分析仪"",""Defibrillation/Pacing/ECG Electrodes (去纤颤/起搏/心电电极片"",""Medical bed (医用病床"",""Vertebroplasty Needle Kit, Portfolio (椎体成形用工具-套管包"",""Surgical Microscope (手术显微镜"",""Syringe Pump (注射泵(商品名：费森尤斯阿吉注射泵)"",""Erytra (全自动配血及血型分析仪"",""Picture Archive and Communication System (影像传输及处理系统软件""]"
"[""RADIOGRAPHIC SYSTEM (X射线摄影系统"",""VITROS Immunodiagnostic Products NTx Controls (N端肽质控品"",""VITROS Immunodiagnostic Products Vitamin B12 Calibrators (维生素B12校准品"",""Hemodialysis System (单人用透析装置"",""Nd:YAG Laser System (掺钕钇铝石榴石激光系统"",""CARDIAC proBNP/ CARDIAC proBNP+。 (脑利钠肽前体快速定量检测卡(胶体金法)"",""N Latex β2 Microglobulin (β2微球蛋白测定试剂盒(散射比浊法)"",""Hollow Fiber Dialyzer (空心纤维透析器(商品名：Asahi Rexeed-L 系列空心纤维透析器)"",""N Antiserum to Human Ceruloplasmin (铜蓝蛋白测定试剂盒(散射比浊法)"",""ARCHITECT Cyclosporine Reagent Kit (环孢霉素测定试剂盒(化学发光微粒子免疫检测法)"",""Magnesium Flex reagent cartridge(MG) (镁测定试剂盒(比色法)"",""Metallic Bone Plate System (金属接骨板系统(商品名：Zimmer 围关节锁定钢板系统)"",""Infusion pump (输液泵"",""VIDAS TOXO IgM (TXM) (弓形虫IgM抗体检测试剂盒(酶联免疫荧光法)"",""NOBELREPLACE Dental Implant (牙科种植体(商品名：NOBELREPLACE)""]"
"[""LIAISON(r) Starter Kit (启动试剂(化学发光法)"",""Versa-FX II Femoral Fixation System (金属接骨钢板螺钉系统(商品名：Versa-FX II Femoral Fixation System)"",""TruLab CRP Level 2 (C-反应蛋白质控品(水平2)"",""Autosuture*ENDO CLOSE*SINGLE USE SUTURING DEVICE (一次性腹壁缝合器"",""Chemical Urinalysis Strips (尿液分析试纸条"",""VITROS Chemistry Products CREA Slides (肌酐测定干片(酶法)"",""Hemoglobin electrophoresis analysis Reagent Kits (血红蛋白分析试剂盒(琼脂糖凝胶电泳法)"",""Calcium(Ca) (钙检测试剂盒(比色法)"",""VITROS Immunodiagnostic Products Ferritin Calibrators (铁蛋白校准品"",""Urea Nitrogen (尿素氮测定试剂盒(尿素酶法)"",""X-ray equipment for computed tomography (X射线计算机体层摄影设备"",""VITROS Immunodiagnostic Products NTx Calibrators (N端肽校准品"",""Triage(r) BNP Test (B型钠尿肽测试板"",""Hip Joint Prostheses (髋关节假体系统(商品名：Durom髋关节置换系统)"",""Lipid Calibrator (脂类校准品""]"
"[""Soft Contact Lenses (软性亲水接触镜"",""Cyto-STAT tetraCHROME CD45-FITC/CD56-RD1/CD19-ECD/CD3-PC5 (淋巴细胞检测试剂盒"",""Alere Determine HBsAg (乙型肝炎病毒表面抗原检测试剂盒(胶体硒法)"",""BACTECTM MGITTM 960 SIRE Kit (分枝杆菌用联合药敏试剂盒(荧光法)"",""X-Ray Angiography System (X射线血管造影系统"",""N Antiserum to Human-α2-Macrogloublin (α2-巨球蛋白测定试剂盒(散射比浊法)"",""Rheumatoid factor FS (类风湿因子测定试剂盒(免疫透射比浊方法)"",""ABX Minotrol CRP (血液分析仪用质控品(商品名：全血质控品高值)"",""OptEase Retrievable Vena Cava Filter (可回收腔静脉滤器(商品名：OptEase)"",""Device for root canal length determination (根测仪"",""Extension Wire (延长导丝(商品名：Runthrough NS)"",""Anti-Measles Virus ELISA (IgM) (抗麻疹病毒抗体IgM检测试剂盒 (酶联免疫吸附法)"",""IMMULITE/IMMULITE1000 Estradiol (雌二醇测定试剂盒(化学发光法)"",""SYNCHRON Calibrator 1 (多项校准品"",""Microscope (生物显微镜""]"
"[""Access Folate calibrators (叶酸检测用校准品"",""ADVIA Centaur HBsAg (HBsAg) (乙型肝炎病毒表面抗原测定试剂盒(化学发光法)(商品名：HBs)"",""Lin-C Linearity Control (线性质控品"",""Fe(IRON2) (铁检测试剂盒(比色法)"",""Bone Plate (直型接骨板"",""X-RAY Film Automatic Processor (X光胶片自动洗片机"",""FUJI DRI-CHEM SLIDE GPT/ALT-PⅢ (丙氨酸氨基转移酶测定试剂盒(速率法)"",""FDT Visual Field Instrument (FDT 视野仪"",""VITROS Chemistry Products 950/FS Reference Fluid (生化分析仪用电解质参比液"",""CHLORIDE(Cl) (氯检测试剂盒(比色法)"",""Elecsys BRAHMS PCT (降钙素原检测试剂盒(电化学发光法)"",""G8 Hemoglobin F\u0026A2 Control Set (血红蛋白检测用质控品(地贫模式)"",""Creatinine PAP (肌酐测定试剂盒"","" (超声诊断设备(汎用超音波画像診断装置 )"",""L-Type CK (肌酸激酶测定试剂盒(JSCC标准化对应/IFCC转化法对应)""]"
"[""HAKKO DISPOSABLE MONOPOLAR NERVE BLOCKADE NEEDLE (神经封闭针(商品名：神经封闭针)"",""Total Protein Urine/CSF Gen.3 (TPUC3) (总蛋白(尿液脑脊液)检测试剂盒(免疫比浊法)"",""VITROS Chemistry Products Calibrator Kit 24 (微量白蛋白校准品"",""VITROS Chemistry Products Calibrator Kit 99 (抗胰蛋白酶与触珠蛋白校准品"",""ARCHITECT STAT Troponin-I Calibrators (肌钙蛋白-I校准品"",""Cochlear Implant (人工耳蜗植入体(商品名：Nucleus freedom )"",""Abutments and Screws for Implants (种植体配套用基台及螺钉"",""Neopuff Infant Resuscitator (T-组合婴儿复苏器"",""Redon Set (一次性闭合高负压引流系统"",""cPSA (复合前列腺特异性抗原测定试剂盒(直接化学发光法)"",""OZONOSAN alpha plus (臭氧治疗仪"",""BTF Microalbumin (尿微量白蛋白检测试剂盒(免疫荧光干式定量法)(商品名：艾可美MAU   )"",""Aluma Skin Renewal System (射频皮肤治疗仪"",""CALIBRATOR 61/70 (糖化血红蛋白校准品"",""Instruments for Spinal Surgery (脊柱外科用工具""]"
"[""VITROS Immunodiagnostic Products RE Controls (内分泌生殖激素质控品"",""VITROS Immunodiagnostic Products Testosterone Controls (睾酮质控品"",""Introducers (血管鞘"",""Injector (高压注射器"",""Bilirubin Direct(DIAZO method) (直接胆红素测定试剂盒"",""DOOROONA Therapeutic Massager (温热按摩理疗床"",""Implants for Spinal Surgery-Cervifix (脊柱外科植入物-颈椎后路侧开口钉棒固定系统"",""Endoscope for the lower digestive tract (电子下消化道镜"",""Coopdech Endobronchial Blocker Tube (一次性使用支气管插管"",""Abbott Clinical Chemistry Specific Proteins Multiconstituent Calibrator (特殊蛋白多项校准品"",""COBAS AmpliPrep/COBAS TaqMan Wash Reagent (清洗液"",""ABX Difftrol (血液分析仪用质控品(商品名：血液分析仪用质控品中值)"",""Ultrasound Probes (电子凸阵扇扫探头"",""Hematology Analyzer (血液分析仪"",""Measurement Cartridge (血气测定试剂盒(电极法)""]"
