keywords
""
"[""尿酸测定试剂盒(尿酸酶比色法)"",""天冬氨酸氨基转移酶测定试剂盒(速率法)"",""Rapidlab"",""康仁644型钠、钾、氯分析仪配套使用试剂"",""丙氨酸氨基转移酶测定试剂盒(速率法)"",""同型半胱氨酸测定试剂盒(酶转换法)"",""碱性磷酸酶测定试剂盒(速率法/AMP缓冲液)"",""钙测定试剂盒(偶氮胂Ⅲ法)"",""人心脏型脂肪酸结合蛋白(H-FABP)检测试剂盒(胶体金法)"",""定制式义齿"",""场效应治疗仪"",""多功能治疗仪"",""便潜血(FOB)检测试条(卡)"",""活化部分凝血活酶时间(APTT)测定试剂盒(鞣花酸)"",""凝血酶时间(TT)测定试剂盒(凝固法)""]"
"[""凝血酶原时间(PT)测定试剂盒(凝固法)"",""纤维蛋白原含量(FIB)测定试剂盒(凝血酶法)"",""YF-T01B型场效应治疗仪"",""YF-T06型场效应治疗仪"",""一次性使用无菌溶药器"",""场效应治疗仪"",""多功能治疗仪"",""场效应治疗仪"",""肤创宁敷料"",""一次性使用无纺布系列医疗卫生用品"",""场效应治疗仪"",""SonoTouch系列全数字化B型超声诊断仪"",""数字化彩色超声诊断仪"",""外科纱布块(垫)"",""定制式全口义齿""]"
"[""定制式可摘局部义齿"",""定制式固定义齿"",""定制式可摘局部义齿"",""定制式全口义齿"",""一次性医用棉球"",""病床"",""产床"",""诊查床"",""纱布绷带"",""TJ-R医用橡皮膏"",""消肿止痛贴"",""咳喘贴"",""疼痛贴"",""感冒贴"",""退热贴""]"
"[""妇康贴(已注销)"",""一次性使用手术帽"",""便秘贴(已注销)"",""不孕检测试纸(胶体金免疫层析法)"",""优孕检测试纸(胶体金免疫层析法)"",""绒毛膜促性腺激素(HCG)检测试纸(胶体金免疫层析法)商品名：孕早知快检试纸"",""输液贴"",""弹性正骨胶带"",""一次性使用增强型气管插管"",""手术影像纱布"",""D-二聚体校准品"",""D-二聚体测定试剂盒(胶乳增强免疫比浊法)"",""医用脱脂棉纱布块"",""医用脱脂棉纱布"",""医用床""]"
"[""医用台柜"",""医用推车"",""医用架"",""普通脱脂纱布口罩"",""医用绷带"",""一次性使用无纺布系列"",""DRJ型全姿势女性接尿器"",""DRL型气道振动驱痰器"",""可吸收性外科缝线(商品名：胶原蛋白线)"",""血糖试纸条(商品名：易立测"",""尿酸试纸条(商品名：易立测"",""游离/总前列腺特异抗原定量检测试剂盒(流式荧光发光法)"",""腹膜钳"",""肠钳"",""三角肺叶钳""]"
"[""头皮钳"",""内耳张开器"",""医用螺钉取出器"",""医用钻"",""全自动革兰氏染色仪器"",""骨钻"",""咬骨剪"",""定制式固定义齿"",""定制式活动义齿"",""定制式固定义齿"",""云南白药急救包"",""定制式固定义齿"",""按压式Y型连接器套装"",""显微止血夹"",""钳式牵开器""]"
"[""带线缝合针(医用丝线)"",""医用丝线"",""带线缝合针(医用锦纶单丝线)"",""带线缝合针(单股钢丝线)"",""非吸收性外科缝线(医用涤纶编织线)"",""一次性使用口咽通气道"",""碱性磷酸酶(ALP)测定试剂盒(连续监测法)"",""胆固醇CHOL(氧化酶法)试剂盒(单)"",""碱性磷酸酶ALP(速率法)试剂盒(单)"",""牙科种植手术附件"",""鼻胃肠管"",""注射泵"",""医学影像存储及传输软件"",""电子血压计"",""电子血压计""]"
"[""电子血压计"",""碘甘油棉棒"",""医用碘伏棉棒"",""甲壳素创口贴"",""齿科医用胶片"",""口腔X光胶片自动冲洗机"",""水凝胶冷敷贴(商品名：酸痛贴)(已注销)"",""一次性无菌引流袋"",""退热降温贴"",""医用高分子绷带"",""WF型软性内镜篮型异物取出钳"",""软性内镜圈形异物取出钳"",""软性内镜爪形异物取出钳"",""乳酸脱氢酶检测试剂（L→P，UV法）"",""总胆固醇检测试剂（COD-POD法）""]"
"[""钙检测试剂（OCPC法）"",""类风湿因子测定试剂盒(乳胶增强免疫透射比浊法)"",""前白蛋白测定试剂盒(免疫比浊法)"",""乳酸脱氢酶测定试剂盒(IFCC法)"",""医用高分子夹板"",""一次性使用氧气湿化瓶"",""球囊扩张压力泵"",""冷敷加压冰囊"",""医用防辐射裙"",""医用纱布绷带"",""辐射防护巾"",""丙氨酸氨基转移酶ALT(速率法)试剂盒(单)"",""天冬氨酸氨基转移酶AST(速率法)试剂盒(单)"",""天冬氨酸氨基转移酶AST(速率法)试剂盒(双)"",""口腔种植定位导向模板""]"
"[""推结器"",""牙龈刀"",""肿瘤摘除钳"",""定制式固定义齿"",""定制式活动义齿"",""一次性使用环柄注射器"",""一次性使用无菌注射针"",""多参数监护仪"",""软性亲水接触镜(商品名：里程)"",""滑板式精细剪"",""纤维蛋白原(FIB)含量测定试剂盒(液体型)(凝固法)"",""葡萄糖Glu(OX)(氧化酶法)试剂盒(单试剂)"",""白蛋白ALB(溴甲酚绿法)试剂盒"",""甘油三酯TG(甘油磷酸氧化酶法)试剂盒(单试剂)"",""阑尾拉钩""]"
"[""阑尾拉钩"",""子宫探针"",""肠夹持钳"",""马铃薯葡萄糖琼脂平板"",""胰酪胨大豆琼脂平板"",""营养琼脂平板"",""果糖胺测定试剂盒(NBT法)"",""血清铜测定试剂盒(比色法)"",""氯化物测定试剂盒(硫氰酸汞法)"",""抗链球菌溶血素测定试剂盒(乳胶增强免疫透射比浊法)"",""载脂蛋白E测定试剂盒(免疫比浊法)"",""丙氨酸氨基转移酶测定试剂盒(赖氏法－微孔板测定)"",""超声PACS医用诊断报告胶片"",""抗体稀释液"",""浓缩清洗缓冲液""]"
"[""清洗缓冲液Ⅱ"",""自动核酸纯化仪"",""SteriLance施莱采血笔"",""一次性使用医用检查包"",""真空固定垫"",""水门汀充填器"",""拔髓针柄"",""带线缝合针(医用聚丙烯单丝线)"",""碱性磷酸酶ALP"",""葡萄糖Glu(HK)(已糖激酶法)试剂盒(单)"",""葡萄糖Glu(HK)(已糖激酶法)试剂盒(双)"",""总蛋白TP(双缩脲法)试剂盒"",""滑板式精细镊"",""滑板式止血钳"",""定制式固定义齿""]"
"[""时间分辨荧光免疫分析仪"",""定制式活动义齿"",""补体C4检测试剂盒(免疫比浊法)"",""小切口精细剪"",""肌酸激酶(Creatine"",""血清高密度脂蛋白胆固醇(HDL-C)直接测定法试剂盒"",""天冬氨酸氨基转移酶(AST)测定试剂盒(酶动力学法)"",""滑板式卵圆钳"",""钻头"",""肘部压力带"",""脚踝固定托"",""手掌指固定托"",""脚踝体位垫"",""心肺复苏板"",""MLF999-F系列救援吊篮担架""]"
"[""MLF999-A3系列楼梯担架"",""输液报警器"",""YQ型骨科牵引床"",""可塑性固定护具"",""P系列医用胶片冲洗机"",""儿童转移垫"",""基础外科用剪"",""深部拉钩"",""丁字式开口器"",""帕巾钳"",""开口器"",""解剖刀"",""手术刀柄"",""丁字式开口器"",""丁字式开口器""]"
"[""γ-谷氨酰转移酶GGT(速率法)试剂盒(单)"",""尿酸UA(酶比色法)试剂盒(双)"",""尿酸UA(酶比色法)试剂盒(单)"",""无机磷IP(直接紫外法)试剂盒"",""输卵管提取板"",""子宫颈钳"",""一次性使用真空采血针"",""小切口组织钳"",""小切口精细镊"",""髋关节固定带"",""肩臂部固定吊托"",""人工心肺机—热交换水箱"",""甲基安非他明检测试剂盒(胶体金法)"",""牵引导丝系统"",""手动式骨科手术器械""]"
"[""约束带"",""创可贴"",""骨膜剥离器"",""刮匙"",""定制式活动义齿"",""定制式活动义齿"",""电动多功能病床"",""ZY-23系列造影通液推注仪"",""创面保护膜(商品名：创得邦)"",""定制式固定义齿"",""定制式活动义齿"",""定制式固定义齿"",""定制式活动义齿"",""一次性医用敷料包"",""医用脱脂棉""]"
"[""脱脂棉纱布"",""定制式固定义齿"",""定制式活动义齿"",""医用脱脂棉"",""医用脱脂纱布"",""拆线剪"",""持针钳"",""普通手术剪"",""普通止血钳"",""蚊式止血钳"",""综合组织剪"",""组织剪"",""拆线剪"",""丁字式开口器"",""台式液晶柱血压计""]"
"[""补体(C4)测定试剂盒(免疫比浊法)"",""肌酸激酶同工酶CK-MB测定试剂盒(DGKC优化比色法)"",""胆道探条"",""显微喉刀"",""鼻刮匙"",""冠周炎冲洗器"",""妇产科拉钩"",""一次性使用笔式注射针"",""高分子夹板"",""高分子绷带"",""妇科冲洗器"",""脊柱矫形器"",""支条式上肢矫形器"",""无线腋温量测器“捷威”無線腋溫量測器"",""血糖测试仪Blood""]"
"[""血糖仪Blood"",""风疹病毒(RV)IgM抗体检测试剂盒(酶联免疫法)"",""肺炎衣原体(CP)IgM抗体检测试剂盒(酶联免疫法)"",""弓形虫(Tox)IgM抗体检测试剂盒(酶联免疫法)"",""EB病毒核酸定量检测试剂盒(PCR-荧光探针法)"",""软性亲水接触镜"",""医用脱脂纱布块"",""医用脱脂棉"",""普通医用口罩"",""医用脱脂棉"",""医用脱脂棉纱布"",""甘油三酯TG(甘油磷酸氧化酶法)试剂盒(双试剂)"",""α-淀粉酶AMY(对－硝基苯麦芽糖苷法pNP-G7)试剂盒"",""低密度脂蛋白胆固醇(LDL-C)直接法试剂盒"",""通用脊柱内固定器""]"
"[""胸腰椎前路钉棒系统"",""生物芯片识读仪"",""紫外线光疗仪"",""紫外线光疗仪"",""紫外线光疗仪"",""紫外线光疗仪"",""生物芯片反应仪"",""医用外科口罩"",""支条式下肢矫形器"",""一次性三用喷枪头"",""眼贴"",""护眼贴"",""拆针器"",""高吸液创口贴"",""洗鼻器""]"
"[""数字化医用X射线摄影系统"",""定制式固定义齿"",""定制式活动义齿"",""隐形眼镜多功能护理液"",""隐形眼镜多功能护理液"",""隐形眼镜多功能护理液"",""营养琼脂平板培养基"",""腰颈康灸疗贴(已注销)"",""艾康贴(已注销)"",""舒散痛贴(已注销)"",""热塑性高分子夹板"",""医用病床(双摇、单摇、平行)"",""产床"",""营养琼脂平板培养基"",""雷火灸(已注销)""]"
"[""巧克力平板培养基"",""物理降温贴"",""一次性使用无菌产包"",""大功率耳背式助听器"",""苯丙氨酸定量检测试剂盒(酶法)"",""乙型肝炎病毒核酸定量检测试剂盒(PCR-荧光探针法)"",""总胆红素测定试剂盒(重氮法)"",""血清前白蛋白(Pre-Alb)免疫透射比浊法测定单试剂盒"",""纤维蛋白溶酶原(Plasminogen，Pg)免疫透射比浊法测定试剂盒"",""免疫球蛋白G、免疫球蛋白A及免疫球蛋白M(IgG、IgA、IgM)免疫透射比浊法测定试剂盒"",""糖化血清蛋白(Glucosylated"",""视黄醇结合蛋白(RBP)免疫透射比浊法测定试剂盒"",""血浆纤维蛋白原(FIB)免疫透射比浊法测定试剂盒"",""旋转式手术器械包"",""眼科基础手术剪""]"
"[""眼科基础手术镊"",""医用无纺布片"",""定制式活动义齿"",""数字超声诊断设备"",""定制式活动义齿"",""镍钛合金矫形弹簧"",""手动轮椅车"",""电动轮椅车"",""可卡因检测试剂盒(胶体金法)"",""美沙酮检测试剂盒(胶体金法)"",""二亚甲基双氧安非他明检测试剂盒(胶体金法)"",""吗啡、甲基安非他明联合检测试剂盒(胶体金法)"",""显微取瘤叉"",""脑用针"",""耳背式助听器""]"
"[""立式压力蒸汽灭菌器"",""一次性使用手术衣"",""一次性使用手术帽"",""医用内窥镜冷光源"",""一次性使用未灭菌注射针"",""乙型肝炎病毒前S1抗原测定试剂盒(酶联免疫法)"",""乙型肝炎病毒核心抗体IgM测定试剂盒(酶联免疫法)"",""单纯疱疹病毒2型IgM抗体测定试剂盒(酶联免疫法)"",""甘氨酰脯氨酸二肽氨基肽酶GPDA(连续监测法)试剂盒"",""肌酐Cr(苦味酸法)试剂盒"",""血清尿素(脲酶紫外速率法)试剂盒(双)"",""胆道引流管"",""气囊导管"",""医用内窥镜图像处理器"",""医用内窥镜冷光源""]"
"[""一次性使用吸痰管"",""人绒毛膜促性腺激素（HCG）测定试剂盒（化学发光免疫分析法）"",""促甲状腺素（TSH）测定试剂盒（化学发光免疫分析法）"",""甲状腺球蛋白（TG）测定试剂盒（化学发光免疫分析法）"",""游离三碘甲腺原氨酸（FT3）测定试剂盒（化学发光免疫分析法）"",""一次性使用无菌敷贴"",""一次性使用护理换药包"",""医用纱布片"",""医用脱脂纱布"",""脑用咬骨钳"",""膀胱拉钩"",""静脉输液固定护贴"",""手腕式电子血压计"",""医用内窥镜摄像系统"",""一次性使用异物钳""]"
"[""一次性使用胆管内引流管"",""URO系列尿液化学分析仪"",""单纯疱疹病毒1型IgG抗体测定试剂盒(酶联免疫法)"",""人狂犬病毒IgG抗体定量测定试剂盒(酶联免疫法)"",""弓形虫IgM抗体测定试剂盒(酶联免疫法)"",""肺炎支原体核酸检测试剂盒(PCR-荧光探针法)"",""甲胎蛋白定量测定试剂盒(时间分辨免疫荧光法)"",""白蛋白测定试剂盒（溴甲酚绿法）"",""总蛋白测定试剂盒（双缩脲法）"",""异物钳"",""一次性使用胃肠营养管"",""钠测定试剂盒(酶法)"",""模塑式胸部固定器"",""软性支条式胸部固定器"",""一次性使用无纺布(系列)制品""]"
"[""一次性使用无纺布(系列)制品"",""一次性使用口腔包"",""一次性使用医用橡胶检查手套"",""定制式固定义齿"",""定制式固定义齿"",""定制式活动义齿"",""二氧化碳检测试剂盒(PEP-C法)"",""α-淀粉酶检测试剂盒(IFCC法)"",""甘油三酯检测试剂盒(酶法)"",""肌酐检测试剂盒(酶法)"",""免疫球蛋白M检测试剂盒(免疫比浊法)"",""β2-微球蛋白检测试剂盒(乳胶增强免疫透射比浊法)"",""颈前路固定板配套工具组合"",""三维拉钩手术系统"",""一次性使用无菌手术包""]"
"[""督灸"",""消痛灸"",""医用棉球"",""医用棉片"",""医用纱布绷带"",""医用棉签"",""痛经灸(已注销)"",""前列腺灸(已注销)"",""医用棉签"",""隔姜灸疗贴(已注销)"",""医用病床"",""拆钉钳"",""记忆合金医疗器械取出辅助工具"",""组合式氧气湿化杯"",""医用棉签""]"
"[""医用棉球"",""纱布绷带"",""一次性使用医用床单、被套、枕套"",""定制式义齿"",""肺炎支原体抗体IgG金标检测试剂盒"",""补体C3检测试剂盒（免疫比浊法）"",""隔盐灸"",""妇科检查床"",""医用消毒超声耦合剂"",""彩色多普勒超声诊断仪"",""AKS-800系列超声电导治疗仪"",""彩色多普勒超声诊断仪"",""彩色数字型超声诊断仪"",""定制式固定义齿"",""定制式固定义齿""]"
"[""定制式活动义齿"",""一次性使用呼吸感应节氧器"",""骨科外固定架"",""腹部手术牵开器"",""淋球菌核酸检测试剂盒(荧光PCR法)"",""单纯疱疹病毒1+2型核酸检测试剂盒(PCR-荧光探针法)"",""紫外线光疗仪"",""肿瘤相关抗原242(CA242)测定试剂盒(化学发光法)"",""甲胎蛋白(AFP)定量测定试剂盒(化学发光法)"",""一次性使用灌洗器"",""胆碱酯酶试剂盒(丁酰硫代胆碱/铁氰化钾法)"",""血清载脂蛋白A1、B(ApoA1、ApoB)免疫透射比浊试剂盒(双)"",""微创扩张引流套件"",""一次性使用胸腔引流瓶"",""一次性使用引流管""]"
"[""一次性使用硅胶导尿管"",""一次性使用宫腔组织吸引管"",""肺炎支原体抗体IgM金标检测试剂盒"",""结核抗体金标阵列检测试剂盒"",""定制式义齿"",""场效应治疗仪"",""玄极治疗仪"",""前列腺治疗仪"",""定制式义齿"",""医用X射线平板探测器"",""LED医用内窥镜冷光源"",""四通道生化分析仪"",""牙龈剪"",""一次性使用引流袋"",""骨科病床""]"
"[""全数字彩色多普勒超声诊断仪"",""显微刮匙"",""定制式活动义齿"",""二氧化碳细胞培养箱"",""垂体刮"",""ɑ-L-岩藻糖苷酶测定试剂盒(速率法)"",""滚珠维氏牵引弓"",""翻身病床"",""可调肩人字架"",""梅毒螺旋体抗体检测试剂盒(胶体金法)"",""人类EGFR基因突变检测试剂盒(流式荧光杂交法)"",""肺炎衣原体抗体IgM检测试剂盒(胶体金法)"",""戊型肝炎病毒IgM抗体检测试剂盒(胶体金法)"",""洗板机"",""医用内窥镜图像处理器""]"
"[""热敷灵"",""定制式活动义齿"",""β2-微球蛋白测定试剂盒(乳胶增强免疫比浊法)"",""低密度脂蛋白胆固醇测定试剂盒(直接法)"",""血糖测定试剂盒(GOD-PAP法)"",""总蛋白测定试剂盒(双缩脲法)"",""甘油三酯测定试剂盒(GPO-PAP法)"",""暂封补牙条"",""定制式活动义齿"",""医用贴"",""脑膜钩"",""神经钩"",""脑组织咬除钳"",""脑自固定牵开器"",""氯测定试剂盒(酶法)""]"
"[""全自动化学发光免疫分析仪"",""全自动化学发光免疫分析仪"",""数字化医用X射线摄影系统"",""肌钙蛋白I/肌红蛋白快速联合检测卡(胶体金法)(商品名：欣卡"",""定制式活动义齿"",""LED手术无影灯"",""一次性使用无菌溶药注射器"",""台式时控电热煮沸消毒器"",""圆柄牙骨凿"",""正畸钳"",""磷测定试剂盒(磷钼酸盐法)"",""尿素测定试剂盒(脲酶连续监测法)"",""碱性磷酸酶测定试剂盒(AMP法)"",""果糖胺测定试剂盒(NBT法)"",""血红蛋白测定试剂盒(HiCN法)""]"
